word,meaning
อเทวนิยม,{'คำนาม': ['ความไม่เชื่อในพระเป็นเจ้าหรือสิ่งเหนือธรรมชาติตนอื่น']}
พระเป็นเจ้า,"{'คำนาม': ['พระผู้สร้างโลก ', 'เทวดาผู้เป็นใหญ่ เช่น พระพรหม']}"
ปรัตยุบัน,{'คำนาม': ['ปัจจุบัน']}
ค้นพบ,{'คำกริยา': ['ค้นคว้าจนได้ความรู้หรือสิ่งใหม่']}
ประการ,"{'คำนาม': ['อย่าง', 'ทำนอง, แบบ'], 'คำลักษณนาม': ['ชนิด, ข้อ']}"
ยาน,"{'คำคุณศัพท์': ['ที่หย่อน ห้อย ย้อย หรือคล้อยลงกว่าระดับปกติ'], 'คำนาม': ['เครื่องนำไป, เคลื่อนพาไป', 'พาหนะต่าง ๆ เช่น เกวียน รถ เรือ, มักใช้คู่กับคำว่า พาหนะ เป็น ยานพาหนะ']}"
พิมพ์ใจ,"{'คำกริยา': ['ประทับใจ, ติดตรึงใจ']}"
ไอซียู,{'คำนาม': ['หน่วยรักษาพยาบาลผู้ป่วยขั้นวิกฤต']}
ไอคิว,{'คำนาม': ['ระดับเชาวน์ปัญญา']}
โอที,{'คำนาม': ['การทำงานล่วงเวลา ซึ่งจะได้ค่าตอบแทนเพิ่ม']}
อีคิว,"{'คำนาม': ['ความฉลาดทางอารมณ์, ความสามารถที่จะควบคุมความรู้สึกทางอารมณ์ให้มีความเหมาะสมตามสภาพการณ์']}"
ซีดี,{'คำนาม': ['สื่อบันทึกข้อมูลชนิดหนึ่ง ลักษณะเป็นแผ่นพลาสติกกลม ด้านหนึ่งทึบด้านหนึ่งใส']}
ดีดีที,"{'คำนาม': ['ยาฆ่าแมลงทั่ว ๆ ไป', 'ไดคลอโรไดฟีนิลไตรคลอโรอีเทน']}"
ไอที,{'คำนาม': ['เทคโนโลยีสารสนเทศ']}
ทุกขลาภ,"{'คำนาม': ['ลาภที่ได้มาพร้อมกับทุกข์, การที่ต้องรับทุกข์ก่อนได้ลาภ']}"
ติดสินบน,"{'คำกริยา': ['ให้สินบน', 'ค้างสินบน, ยังไม่ได้แก้บน']}"
สินน้ำใจ,{'คำนาม': ['เงินหรือทรัพย์ที่ให้เป็นรางวัล']}
ระบบคุณค่า,{'คำนาม': ['ศีลธรรมของส่วนรวมหรือส่วนบุคคล; เกณฑ์การกำหนดคุณค่าให้กับสิ่งต่าง ๆ ซึ่งเป็นเกณฑ์ที่กำหนดโดยบุคคลหรือสังคม']}
รังรักษ์,"{'คำกริยา': ['สร้าง', 'คุ้มครอง']}"
รังสรรค์,"{'คำกริยา': ['สร้าง, แต่งตั้ง, ประดิษฐ์']}"
รังสฤษฎ์,"{'คำกริยา': ['สร้าง, แต่งตั้ง']}"
สถิติศาสตร์,{'คำนาม': ['วิชาว่าด้วยสถิติ']}
ภาษาในระหว่าง,{'คำนาม': ['ภาษาหรือรูปแบบของภาษาหนึ่ง ที่มีลักษณะของมากกว่า 1 ภาษา เช่น การใช้ภาษาของผู้เรียนภาษาหนึ่งเป็นภาษาต่างประเทศ']}
เป้าประสงค์,{'คำนาม': ['วัตถุประสงค์หรือจุดหมายที่ตั้งไว้แล้วพยายามทำให้สำเร็จ']}
รอก,{'คำนาม': ['เครื่องผ่อนแรงลักษณะคล้ายล้อ มีแกนหมุนรอบตัวได้ ขอบเป็นร่องเพื่อให้เชือก หรือลวดหมุนตามได้สะดวก ใช้ยก ลาก หรือดึงของหนักให้เบาแรงและเร็วขึ้น']}
สินาด,"{'คำนาม': ['หน้าไม้, ปืน']}"
สีหนาท,{'คำนาม': ['สิงหนาท']}
คีบ,{'คำกริยา': ['หนีบให้อยู่ด้วยปลายง่าม เช่น ของคีมหรือปลายไม้ 2 อัน']}
มะเขือ,{'คำนาม': ['ชื่อไม้พุ่มหลายชนิดในสกุล Solanum วงศ์ Solanaceae ผลกินได้']}
ขาก,"{'คำกริยา': ['ขับเสมหะหรือสิ่งอื่นในคอให้หลุดออก มีเสียงดังขาก', 'ภูมิใจ']}"
คืนหมาหอน,{'คำนาม': ['คืนสุดท้ายก่อนวันเลือกตั้งซึ่งหัวคะแนนเดินไปตามบ้านต่าง ๆ เพื่อจ่ายเงินซื้อเสียง ']}
คะแนนเสียง,{'คำนาม': ['คะแนนที่ลงในการออกเสียง']}
จอหงวน,{'คำนาม': ['ผู้ที่สอบได้อันดับ 1 ในการสอบคัดเลือกข้าราชการของจีนสมัยสมบูรณาญาสิทธิราชย์']}
สู้หน้า,"{'คำกริยา': ['เผชิญหน้า, ประจันหน้า']}"
โรคภัยไข้เจ็บ,{'คำนาม': ['โรคและความเจ็บป่วยต่าง ๆ']}
รองเท้าแตะ,{'คำนาม': ['รองเท้าชนิดไม่หุ้มส้น']}
ภัสมะ,"{'คำนาม': ['เถ้า, ธุลี'], 'คำกริยา': ['ทำให้แหลก'], 'คำคุณศัพท์': ['แหลก, ละเอียด']}"
นิ้วกลาง,{'คำนาม': ['นิ้วที่ 3 นับแต่หัวแม่มือ']}
นิ้วนาง,{'คำนาม': ['นิ้วที่ 4 นับแต่หัวแม่มือ']}
นิ้วก้อย,{'คำนาม': ['นิ้วที่ 5 นับแต่หัวแม่มือ']}
เหงี้ยง,{'คำนาม': ['นิ้ว']}
เงียง,{'คำนาม': ['เหยือก']}
แง๊ง,{'คำนาม': ['ฝั่ง (ของแม่น้ำ)']}
แงง,{'คำนาม': ['เงี่ยง (ของปลา)']}
แหง้ง,"{'คำนาม': ['แง่ง, เหง้า, กลีบ (ของกระเทียม)']}"
แง๋น,{'คำกริยา': ['แหงน (หน้า)']}
งุ๊ม,{'คำกริยา': ['งม']}
จ๋น,"{'คำสันธาน': ['จน, ถึง']}"
เจ๊าะ,{'คำกริยา': ['เจาะ']}
จ็อง,{'คำกริยา': ['ส่ง']}
ซั๊ว,"{'คำกริยา': ['ชวน, ชักชวน']}"
ซู̄บ,{'คำกริยา': ['สูบ']}
ญ̄ะ,"{'คำกริยา': ['แหวก (หญ้า, กอ)']}"
ญั๊บ,"{'คำกริยา': ['ขยับ, ถอย']}"
ญุ๋ม,"{'คำกริยา': ['ขยุ้ม, ข่วน']}"
ญ๋วม,{'คำกริยา': ['ขยุ้ม']}
เญื̂อน,"{'คำกริยา': ['เขยื้อน, เลื่อน']}"
ดี̄ด,{'คำกริยา': ['ดีด']}
แด๊ด,{'คำกริยา': ['ดัด']}
เด๋า,{'คำกริยา': ['เดา']}
จำบัง,"{'คำกริยา': ['รบ', 'กำบังกาย, หายตัวไป'], 'คำนาม': ['สงคราม, ศึก', 'นักรบ']}"
บัณเฑาะก์,{'คำนาม': ['กะเทย']}
บัณเฑาะว์,{'คำนาม': ['กลองสองหน้าขนาดเล็กชนิดหนึ่งมีหลักอยู่ตอนบน ผูกตุ้มห้อยลงมาทางหน้ากลอง ใช้ไกวให้ตุ้มแกว่งกระทบหน้ากลองทั้ง 2 ข้าง ใช้ในพิธีพราหมณ์']}
ขันที,{'คำนาม': ['ชายที่ถูกตอน บางประเทศทางเอเชียสมัยโบราณใช้สำหรับควบคุมฝ่ายใน']}
ยูนุค,{'คำนาม': ['ขันที']}
รณยุทธ์,"{'คำกริยา': ['สู้รบ, ทำสงคราม']}"
รณเกษตร,{'คำนาม': ['สนามรบ']}
รณภู,{'คำนาม': ['สนามรบ']}
รณภูมิ,{'คำนาม': ['สนามรบ']}
รณสถาน,{'คำนาม': ['สนามรบ']}
ปัตตะ,{'คำนาม': ['บาตร']}
สงครามโลก,{'คำนาม': ['สงครามใหญ่ที่มีประเทศมหาอำนาจเป็นคู่สงคราม']}
หลีกเลี่ยง,"{'คำกริยา': ['เลี่ยงให้พ้น, เลี่ยงเพื่อไม่เผชิญหน้า, หนี']}"
ตีแผ่,"{'คำกริยา': ['เปิดเผยรายละเอียด, ขยายเรื่องที่ปกปิดให้รู้ทั่วกัน']}"
ขรัวปู่,{'คำนาม': ['ภิกษุที่มีอายุมาก (ใช้เหมือนกับ หลวงปู่)']}
กูปรี,{'คำนาม': ['ชื่อวัวป่าขนาดใหญ่ชนิด Bos sauveli Urbain ในวงศ์ Bovidae เมื่อโตเต็มที่ตัวผู้สีดำ มีเขาขนาดใหญ่ ส่วนปลายบิดชี้ขึ้นข้างบน ใช้เขาขุดดินและแทงต้นไม้ทำให้ปลายแตกเป็นเส้น ๆ ร่นลงไปมองเห็นเป็นพู่ ตัวเมียสีน้ำตาลอมเทาหรือน้ำตาลเข้ม เขาเล็กกว่า ปลายไม่แตกเป็นพู่ มีถิ่นอาศัยอยู่บริเวณอีสานใต้ตามชายแดนไทย-กัมพูชา ลาว เวียดนาม เป็นสัตว์ป่าสงวนของไทยที่ใกล้จะสูญพันธุ์']}
โคไพร,{'คำนาม': ['กูปรี']}
น้ำอ่อน,{'คำนาม': ['น้ำที่ละลายสบู่ได้ดี ให้ฟองได้ง่าย และไม่เกิดไคลสบู่']}
ไคล,"{'คำนาม': ['เหงื่อที่ปนกับฝุ่นละอองติดกรังอยู่กับหนังกำพร้า', 'ตะไคร่น้ำ'], 'คำกริยา': ['ไป', 'ทำให้คลาย ให้อ่อน หรือให้หย่อน โดยใช้นิ้วมือหรือฝ่ามือเป็นต้นคลึงไปมา']}"
โมฆบุรุษ,"{'คำนาม': ['คนที่ใช้การไม่ได้, คนโง่เขลา, คนที่พลาดจากประโยชน์อันพึงได้พึงถึง ']}"
ตระกูลภาษา,{'คำนาม': ['กลุ่มภาษาที่มีวิวัฒนาการมาจากบรรพบุรุษร่วมกัน']}
สุจิ,"{'คำคุณศัพท์': ['สะอาด, ผ่องใส, หมดจด']}"
งอกเงย,"{'คำกริยา': ['มีผลประโยชน์เพิ่มพูนขึ้น, เพิ่มพูน']}"
แน่นขนัด,"{'คำกริยา': ['แออัด, ยัดเยียด']}"
เพิ่มพูน,"{'คำกริยา': ['เติมให้มากขึ้น, เสริมให้มากขึ้น']}"
แออัด,"{'คำคุณศัพท์': ['ยัดเยียด, เบียดเสียด, เบียดกันแน่น, แน่น']}"
ชนกลุ่มน้อย,{'คำนาม': ['ชนต่างเผ่าหรือเชื้อชาติที่อยู่รวมกับชนเผ่าอื่นหรือเชื้อชาติอื่นที่มีจำนวนมากกว่า']}
เผ่า,"{'คำนาม': ['เหล่ากอ, กลุ่มคนเชื้อสายเดียวกัน, กลุ่มชน, มักใช้แก่ชนกลุ่มน้อยของประเทศ']}"
เชื้อชาติ,{'คำนาม': ['กลุ่มคนที่ร่วมเผ่าพันธุ์เดียวกัน มีลักษณะทางกายภาพเหมือนหรือคล้ายกัน']}
เทวนาครี,{'คำวิสามานยนาม': ['อักษรใช้เขียนภาษาสันสกฤตและภาษาอินเดียบางภาษา']}
สายาห์,{'คำนาม': ['เวลาเย็น']}
ภารต,"{'คำนาม': ['ชาวอินเดีย', 'นักแสดงละคร']}"
ทิวา,"{'คำนาม': ['วัน, กลางวัน']}"
น้ำลาย,{'คำนาม': ['น้ำย่อยจากต่อมน้ำลายในปาก มีสารช่วยย่อยอาหารจำพวกแป้ง']}
ลางสังหรณ์,{'คำนาม': ['ลางที่ดลใจทำให้เชื่อว่าอาจจะมีเหตุดีหรือเหตุร้ายเกิดขึ้น']}
ชู้,"{'คำนาม': ['ผู้ล่วงประเวณี', 'การล่วงประเวณี', 'ชายที่ร่วมประเวณีกับเมียผู้อื่น เรียกว่า เป็นชู้, หญิงที่มีสามีแล้วแต่ร่วมประเวณีกับชายอื่น เรียกว่า มีชู้', 'คู่รัก, คนรัก']}"
แตกคอ,"{'คำกริยา': ['หมางใจกันเพราะภายหลังเกิดมีความเห็นหรือรสนิยมไม่ตรงกัน, แตกสามัคคี']}"
กุณโฑ,"{'คำนาม': ['คนโท, หม้อนํ้ารูปต่าง ๆ คอยาว']}"
คนโท,"{'คำนาม': ['กุณโฑ, หม้อนํ้ารูปต่าง ๆ คอยาว']}"
ทูต,"{'คำนาม': ['ผู้นำข้อความไปแจ้งทั้ง 2 ฝ่าย, ผู้รับใช้ไปเจรจาแทน, ผู้สื่อสาร', 'ผู้ที่ได้รับมอบหมายให้เป็นผู้แทนไปยังต่างประเทศ เพื่อเจรจาหรือเจริญสัมพันธไมตรีเป็นทางราชการ']}"
มอบหมาย,"{'คำกริยา': ['กำชับสั่งเสีย', 'กะให้, กำหนดให้']}"
หลุมดำ,"{'คำนาม': ['เทหวัตถุในเอกภพที่มีแรงโน้มถ่วงสูงมาก ไม่มีอะไรออกจากบริเวณนี้ได้แม้แต่แสง', 'อวัยวะเพศหญิง', 'ตูด, รูก้น']}"
น้ำดี,"{'คำนาม': ['น้ำสะอาดที่ใช้ในการซักล้าง, น้ำอ่อน', 'ของเหลวสีเขียว สร้างจากตับแล้วเก็บไว้ในถุงน้ำดี มีหน้าที่ทำให้ไขมันขนาดใหญ่แตกเป็นก้อนเล็ก ๆ เพื่อให้เอนไซม์สามารถย่อยได้ง่ายขึ้น'], 'คำคุณศัพท์': ['ที่ดี, ที่มีคุณภาพ', 'ที่มีสาระหรือเป็นประโยชน์ต่อสังคม']}"
คือเก่า,"{'คำกริยาวิเศษณ์': ['เหมือนเดิม, อย่างเดิม']}"
สิ้นซาก,{'คำกริยา': ['ไม่เหลือร่องรอย']}
ลูกหัวปี,{'คำนาม': ['ลูกคนแรกของพ่อแม่']}
หัวปี,"{'คำคุณศัพท์': ['เกิดก่อนเพื่อน, ทีแรก']}"
เทวสถาน,"{'คำนาม': ['สถานที่ที่เทพเจ้าหรือเทวดาประทับหรือสิงสถิต', 'สถานที่ประดิษฐานเทวรูป']}"
พัศดี,"{'คำนาม': ['ผู้ปกครองนักโทษ, ผู้บังคับการเรือนจำ, พะทำมะรง']}"
ศาสนสถาน,{'คำนาม': ['สถานที่สำหรับพิธีกรรมทางศาสนา']}
ประติมากรรม,{'คำนาม': ['ศิลปะแขนงหนึ่งในพวกวิจิตรศิลป์ ศึกษางานที่สร้างเป็นรูปทรง 3 มิติ โดยการปั้น แกะสลัก หรือผสมผเส']}
ตั้งต้น,"{'คำกริยา': ['เริ่มต้นทำ, ขึ้นต้น']}"
อนุทิน,{'คำนาม': ['สมุดบันทึกประจำวัน']}
เทพนิยาย,"{'คำนาม': ['นิทานหรือตำนานเกี่ยวกับเทวดา, นิทานที่มีเทวดานางฟ้าเป็นตัวละครในเรื่อง']}"
ภาษาศาสตร์,{'คำนาม': ['วิชาที่ศึกษาภาษาและโครงสร้างต่าง ๆ ของภาษา โดยอาศัยวิธีการวิทยาศาสตร์ เช่น ตั้งสมมติฐาน เก็บรวบรวมและวิเคราะห์ข้อมูล แบ่งออกเป็นสาขาย่อย ได้แก่ วิทยาหน่วยคำ วากยสัมพันธ์ สัทศาสตร์ สัทวิทยา และอรรถศาสตร์ เป็นต้น']}
ทิน,"{'คำกริยา': ['ให้แล้ว', 'จาก'], 'คำนาม': ['วัน']}"
ตับอ่อน,{'คำนาม': ['อวัยวะประเภทต่อมของระบบทางเดินอาหารของสิ่งมีชีวิต มีหน้าที่สร้างและขับน้ำย่อยอาหารและสร้างฮอร์โมนอินซูลินและกลูคากอน']}
สังคโลก,{'คำนาม': ['เครื่องปั้นเคลือบที่ผลิตขึ้นในสมัยอาณาจักรสุโขทัย ซึ่งมีแหล่งผลิตที่เมืองศรีสัชนาลัย และเมืองสุโขทัย']}
จงกลนี,"{'คำนาม': ['บัว', 'บัวดอกคล้ายบัวขม มีเกสรซ้อนหลายชั้น แตกก้านต่อดอกแล้วมีดอกต่อกัน 3 ดอกบ้าง 4 ดอกบ้าง']}"
บันได,"{'คำนาม': ['สิ่งที่ทำเป็นขั้น ๆ สำหรับก้าวขึ้นลง', 'โดยปริยายหมายถึง บุคคลหรือสิ่งที่อาศัยใช้ไต่เต้าขึ้นไปสู่ฐานะหรือตำแหน่งที่สูงขึ้นไป']}"
กระไดเลื่อน,{'คำนาม': ['บันไดเลื่อน']}
อาจหาญ,"{'คำคุณศัพท์': ['กล้าหาญ, ไม่ครั่นคร้าม']}"
วีร,"{'คำคุณศัพท์': ['กล้าหาญ'], 'คำนาม': ['กระด้ง']}"
โทรทรรศน์,{'คำนาม': ['กล้องส่องดูสิ่งที่อยู่ไกลให้เห็นใกล้ เรียกว่า กล้องโทรทรรศน์']}
จุลทรรศน์,{'คำนาม': ['กล้องขยายดูของเล็กที่ไม่สามารถเห็นได้ด้วยตาเปล่า เรียกว่า กล้องจุลทรรศน์']}
ลอดช่อง,{'คำนาม': ['ชื่อขนมอย่างหนึ่งทำด้วยแป้งข้าวเจ้ากวนพอสุก กดลงในกะโหลกที่มีรูให้ไหลออกเป็นตัว ๆ หัวท้ายแหลม กินกับน้ำกะทิ']}
ขี่หลังเสือแล้วลงยาก,{'คำกริยา': ['กระทำการอย่างใดอย่างหนึ่งแล้วพบอุปสรรค แต่ถูกสถานการณ์บีบบังคับให้ดำเนินต่อไปจนถึงที่สุด โดยไม่อาจหยุดกลางคันได้']}
ขี่หลังเสือแล้วลงไม่ได้,{'คำกริยา': ['กระทำการอย่างใดอย่างหนึ่งแล้วพบอุปสรรค แต่ถูกสถานการณ์บีบบังคับให้ดำเนินต่อไปจนถึงที่สุด โดยไม่อาจหยุดกลางคันได้']}
ขี่หลังเสือ,{'คำกริยา': ['กระทำการอย่างใดอย่างหนึ่งแล้วพบอุปสรรค แต่ถูกสถานการณ์บีบบังคับให้ดำเนินต่อไปจนถึงที่สุด โดยไม่อาจหยุดกลางคันได้']}
วิถี,"{'คำนาม': ['สาย, แนว, ถนน, ทาง, มักใช้ประกอบกับคำอื่น']}"
สะเอว,{'คำนาม': ['เอว']}
ม่องเท่ง,{'คำกริยา': ['ตาย']}
เท่งทึง,{'คำกริยา': ['ตาย']}
ตะบี้ตะบัน,"{'คำกริยาวิเศษณ์': ['ซ้ำ ๆ ซาก ๆ, ไม่รู้จักจบจักสิ้น']}"
ซ้ำซาก,"{'คำกริยาวิเศษณ์': ['ทำแล้วทำอีกหรือเป็นแล้วเป็นอีกอย่างเดียวกันร่ำไป, จำเจ']}"
ซ้ำ ๆ ซาก ๆ,"{'คำกริยาวิเศษณ์': ['ทำแล้วทำอีกหรือเป็นแล้วเป็นอีกอย่างเดียวกันร่ำไป, จำเจ']}"
ซ้ำ ๆ,{'คำกริยาวิเศษณ์': ['ทำอย่างเดียวกันอีกหลาย ๆ ครั้ง']}
บุษบก,{'คำนาม': ['เรือนยอดแบบหนึ่งมีขนาดต่าง ๆ กัน เป็นอย่างเรือนโกง เป็นที่ประทับของพระมหากษัตริย์ในพระราชพิธี หรือประดิษฐานปูชนียวัตถุเช่นพระพุทธรูปเป็นต้น']}
ราชินี,"{'คำนาม': ['พระมเหสี, ภรรยาของพระมหากษัตริย์', 'หญิงที่ได้รับการยกย่องในทางใดทางหนึ่ง', 'แมลงตัวเมียที่เป็นหัวหน้าในรัง', 'ชื่อปูน้ำจืดชนิด Thaiphusa sirikit (Naiyanetr) ในวงศ์ Potamidae กระดองสีม่วงอมน้ำเงิน ขอบกระดองและขาก้ามสีขาว ขาสีแดง อาศัยอยู่ตามลำห้วย พบที่อำเภอไทรโยค จังหวัดกาญจนบุรี, ปูสามสี หรือ ปูไตรรงค์ ก็เรียก']}"
ธิดา,{'คำนาม': ['ลูกหญิง']}
สุดา,{'คำนาม': ['ลูกสาว']}
ดนยา,{'คำนาม': ['ลูกหญิง']}
ศาสนูปถัมภก,"{'คำนาม': ['ผู้ทะนุบำรุงศาสนา, ผู้อุปถัมภ์ศาสนา']}"
บัฏ,"{'คำนาม': ['ผืนผ้า, แผ่น']}"
บรม,"{'คำคุณศัพท์': ['อย่างยิ่ง, ที่สุด'], 'คำกริยาวิเศษณ์': ['อย่างที่สุด']}"
อิสริย,"{'คำนาม': ['ความเป็นใหญ่, ความเป็นเจ้า, ความยิ่งใหญ่']}"
อิสริยะ,"{'คำนาม': ['ความเป็นใหญ่, ความเป็นเจ้า, ความยิ่งใหญ่']}"
ลัญจกร,{'คำนาม': ['ตราใช้ตีหรือประทับ']}
ลัญฉกร,{'คำนาม': ['ตราใช้ตีหรือประทับ']}
ขัตติย,"{'คำนาม': ['กษัตริย์, พระเจ้าแผ่นดิน']}"
สมภพ,"{'คำนาม': ['การเกิด'], 'คำกริยา': ['เกิด']}"
กนิษฐ,"{'คำนาม': ['น้อง'], 'คำคุณศัพท์': ['น้อย, น้อยที่สุด']}"
อธิราช,{'คำนาม': ['พระเจ้าแผ่นดินผู้ยิ่งใหญ่']}
ยาตร,"{'คำนาม': ['เดิน, เดินเป็นกระบวน']}"
ยาตรา,"{'คำนาม': ['เดิน, เดินเป็นกระบวน']}"
พยุห,"{'คำนาม': ['กระบวน, หมู่, กองทัพ, เหล่า']}"
วิริยะ,"{'คำนาม': ['ความเพียร, ความบากบั่น, ความมานะ, ความพยายาม', 'ความกล้า']}"
วิริยภาพ,"{'คำนาม': ['ความเพียร, ความบากบั่น, ความมานะ, ความพยายาม', 'ความกล้า']}"
ห้าวหาญ,"{'คำกริยา': ['กล้าเสี่ยงอันตราย, กล้าแกร่งไม่กลัวอันตราย']}"
มนท,"{'คำนาม': ['ดาวพระเสาร์'], 'คำคุณศัพท์': ['เฉื่อย, ช้า', 'อ่อนแอ', 'โง่เขลา', 'ขี้เกียจ']}"
มนท์,"{'คำนาม': ['ดาวพระเสาร์'], 'คำคุณศัพท์': ['เฉื่อย, ช้า', 'อ่อนแอ', 'โง่เขลา', 'ขี้เกียจ']}"
นิษกรม,"{'คำกริยา': ['เฉย, นิ่ง, ปราศจากกิริยา']}"
ราชญี,{'คำนาม': ['ราชินี']}
อารยะ,{'คำคุณศัพท์': ['เจริญ']}
อารย,{'คำคุณศัพท์': ['เจริญ']}
เสียงสะท้อน,"{'คำนาม': ['เสียงที่ย้อนกลับมามีลักษณะคล้ายเสียงเดิม เนื่องจากคลื่นเสียงไปกระทบสิ่งขวางกั้นแล้วย้อนกลับ อย่างเสียงในถ้ำในหุบเขาเป็นต้น', 'โดยปริยายหมายถึงความคิดเห็นของกลุ่มชนที่มีปฏิกิริยาต่อการกระทำบางอย่างของอีกฝ่ายหนึ่ง']}"
ปัญจนที,{'คำนาม': ['แม่น้ำ 5 สายในอินเดีย ได้แก่ คงคา ยมนา อจิรวดี สรภู มหี']}
เหิมห้าว,{'คำคุณศัพท์': ['ลำพองใจด้วยความฮึกหาญหรือความมุทะลุดุดัน']}
เนียร,"{'คำนาม': ['นีร, น้ำ']}"
นีร,{'คำนาม': ['น้ำ']}
นีรจร,{'คำนาม': ['ปลาหรือสัตว์น้ำอื่น ๆ']}
นังคัล,{'คำนาม': ['ไถ']}
แฮก,{'คำคุณศัพท์': ['แรก']}
ตัวตั้งตัวตี,"{'คำนาม': ['ผู้เป็นหัวเรี่ยวหัวแรงในการทำกิจกรรมต่าง ๆ', 'ผู้ที่ตั้งตัวเป็นหัวหน้าในการทำงาน']}"
ตีโพยตีพาย,"{'คำกริยา': ['แกล้งร้องหรือทำโวยวายเกินสมควร', 'แสดงความเสียอกเสียใจจนเกินเหตุ']}"
หัวเรี่ยวหัวแรง,{'คำนาม': ['ผู้เป็นกำลังสำคัญในการทำกิจกรรมต่าง ๆ']}
หัวแรง,{'คำนาม': ['ผู้เป็นกำลังสำคัญในการทำกิจกรรมต่าง ๆ']}
ต้มตุ๋น,"{'คำกริยา': ['หลอกลวง, ฉ้อโกง']}"
หงี่,{'คำกริยา': ['มีความรู้สึกอยากหรือกระหายเป็นกำลัง (ใช้เฉพาะกามคุณ)']}
ค้ำคอ,{'คำกริยา': ['มีบางสิ่งที่ทำให้อยู่ในฐานะจำใจต้องทำหรืองดเว้น']}
ราชสำนัก,"{'คำนาม': ['ที่ทำการของพระเจ้าแผ่นดิน, วัง', 'ราชวงศ์']}"
ชาววัง,{'คำนาม': ['หญิงที่อยู่ในวัง']}
ปโยชนม์,{'คำนาม': ['ผู้มีน้ำเป็นที่เกิด หมายถึง เมฆ']}
ปโย,"{'คำนาม': ['น้ำนม, น้ำ']}"
ชนม์,{'คำนาม': ['การเกิด']}
ชนม,{'คำนาม': ['การเกิด']}
พรหมจาริณี,{'คำนาม': ['หญิงบริสุทธิ์']}
ตะเว็น,{'คำนาม': ['ตะวัน']}
หมั่นโถว,{'คำนาม': ['ของกินอย่างหนึ่งของจีน คล้ายซาลาเปาแต่ไม่มีไส้']}
เลเซอร์,"{'คำนาม': ['เครื่องซึ่งแปลงลำแสงที่ผ่านเข้าไปให้ออกมาเป็นลำแสงสีเดียวที่อัดรวมกันจนมีขนาดลำแสงแคบอย่างยิ่ง และมีความเข้มสูงมาก', 'เรียกลำแสงที่ได้ออกมาลักษณะเช่นนี้ ว่า ลำแสงเลเซอร์']}"
พิชิต,"{'คำกริยา': ['ชนะ, ปราบให้แพ้'], 'คำนาม': ['แว่นแคว้นที่ปราบปรามแล้ว, แว่นแคว้น']}"
บำหยัด,{'คำกริยา': ['ประหยัด']}
บำเรอเชอภักดิ์,{'คำกริยา': ['ตั้งใจรับใช้']}
บำเทิง,"{'คำคุณศัพท์': ['บันเทิง, รื่นเริง, เบิกบาน, สนุกสนาน']}"
สนุกสนาน,"{'คำคุณศัพท์': ['เพลิดเพลินใจ, ร่าเริงบันเทิงใจ']}"
บำบวง,"{'คำกริยา': ['บนบาน, บูชา, เซ่นสรวง']}"
บันเดิน,{'คำกริยา': ['ทำให้เดิน']}
บันจวบ,{'คำกริยา': ['ตกแต่ง']}
เซ่น,"{'คำกริยา': ['เอาอาหารเป็นต้นไปไหว้หรือสังเวยผีหรือเจ้า', 'เอาเงินทองหรือสิ่งของไปให้ผู้ที่มีอำนาจเพื่อหวังประโยชน์']}"
บรรณาคม,{'คำนาม': ['ห้องหนังสือ']}
บรรณ,"{'คำนาม': ['ปีก', 'หนังสือ', 'ใบไม้']}"
ปัณณะ,{'คำนาม': ['บรรณ']}
ปัณหิ,{'คำนาม': ['ส้นเท้า']}
บุระ,"{'คำนาม': ['ป้อม, หอ, วัง, เมือง']}"
ปุระ,"{'คำนาม': ['ป้อม, หอ, วัง, เมือง']}"
หลอดไฟ,{'คำนาม': ['อุปกรณ์ที่ให้ความสว่างโดยใช้พลังงานไฟฟ้า']}
หลอดไฟฟ้า,{'คำนาม': ['อุปกรณ์ที่ให้ความสว่างโดยใช้พลังงานไฟฟ้า']}
รัฐสภา,{'คำนาม': ['องค์กรนิติบัญญัติ ทำหน้าที่บัญญัติกฎหมาย ประกอบด้วยวุฒิสภาและสภาผู้แทนราษฎร']}
วุฒิสภา,{'คำนาม': ['สภานิติบัญญัติสภาหนึ่ง อาจประกอบด้วยสมาชิกที่มาจากการแต่งตั้ง เลือกตั้ง หรือแต่งตั้งและเลือกตั้งผสมกัน มีหน้าที่กลั่นกรองกฎหมายและหน้าที่อื่นตามที่รัฐธรรมนูญกำหนด']}
เข็มฉีดยา,"{'คำนาม': ['อุปกรณ์ทางการแพทย์ชนิดหนึ่ง ด้านหนึ่งเป็นกระบอกสำหรับบรรจุของเหลว มีแกนใช้ฉีดหรือดูดของเหลว อีกด้านหนึ่งเป็นเข็มกลวงปลายแหลม ใช้แทงผ่านผิวหนัง', 'บางครั้งหมายถึงเฉพาะส่วนเข็มอย่างเดียว']}"
กระบอกฉีดยา,"{'คำนาม': ['อุปกรณ์ทางการแพทย์ชนิดหนึ่ง ด้านหนึ่งเป็นกระบอกสำหรับบรรจุของเหลว มีแกนใช้ฉีดหรือดูดของเหลว อีกด้านหนึ่งเป็นเข็มกลวงปลายแหลม ใช้แทงผ่านผิวหนัง', 'บางครั้งหมายถึงเฉพาะส่วนกระบอกอย่างเดียว']}"
ฉีดยา,{'คำกริยา': ['เอายาฉีดเข้าไปในร่างกายทางใต้ผิวหนัง ทางกล้ามเนื้อ หรือทางเส้นเลือด']}
